JobTitle,Company,CompanyRating,JobLocation,Remote,PostDate,ExtractionDate,JobUrl
Senior Data Scientist (Barcelona),Rover,,"Barcelona, Barcelona provincia",True,hace 2 días,2021-03-29,https://es.indeed.com/rc/clk?jk=2b355d0adbbd2e5d&fccid=d4b58fa60b80adb8&vjs=3
DATA SCIENTIST,Centre Tecnologic de Catalunya,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d81898117e4bf39a&fccid=6b79779c98eccf87&vjs=3
Data Scientist - Business Analytics,Allianz España,"3,9","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=2e5fc987cf7457fa&fccid=bf422d4af99309b2&vjs=3
Contributor | Data Engineer / Data Scientist,Hyperloop Transportation Technologies,,"Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=37588abdd50b1516&fccid=cdaa95337069b3e2&vjs=3
Senior Data Scientist,Aratech,,"Alicante, Alicante provincia",False,hace 3 días,2021-03-29,https://es.indeed.com/rc/clk?jk=64e48626f57a1d8c&fccid=770f2d3ce22600b7&vjs=3
DATA SCIENTIST Big Data Analytics,Centre Tecnologic de Catalunya,,"Barcelona, Barcelona provincia",False,hace 25 días,2021-03-29,https://es.indeed.com/rc/clk?jk=7e3e9df29dd2deee&fccid=6b79779c98eccf87&vjs=3
Data Scientist- Data Architect,Grupo DISA,"3,8","Santa Cruz de Tenerife, Santa Cruz de Tenerife provincia",False,hace 16 días,2021-03-29,https://es.indeed.com/rc/clk?jk=77c2a827839ab1e8&fccid=a9d8b1fac9579a77&vjs=3
Data Scientist,Smart Protection,,"Madrid, Madrid provincia",True,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=70ea41fa5e5740a0&fccid=7d74d57fef896211&vjs=3
Physical Properties Scientist,Insud Pharma,,Guadalajara provincia,False,hace 13 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d500585d9b9c56de&fccid=333f0ccab65ac3d2&vjs=3
data scientist,ADEAS Hr,,"Santa Perpètua de Mogoda, Barcelona provincia",False,hace 10 días,2021-03-29,https://es.indeed.com/rc/clk?jk=99c91abf62cb19b3&fccid=45a3250156ed44fe&vjs=3
Global Quality Data Scientist,Markem-Imaje,"3,4","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=60390df35680fe89&fccid=d7e3c1bac6a3cfe7&vjs=3
Junior Data Scientist (Inventory management),Fever,"3,6","Madrid, Madrid provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=1b3f7d2382b1e3a4&fccid=552b543e94584d6f&vjs=3
Senior Data Scientist,PepsiCo,"3,8","Cornellà de Llobregat, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=01f193cec2696f66&fccid=2973259ddc967948&vjs=3
Data Scientist - Acquisition,Glovo,"3,1","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=50b1c5f255e12df1&fccid=e79aa74d1d3ace1e&vjs=3
Applied Scientist,"Amazon Spain Services, S.L.","3,6","Barcelona, Barcelona provincia",False,Hace más de 30 días,2021-03-29,https://es.indeed.com/rc/clk?jk=cd5bfda960301bbe&fccid=fe2d21eef233e94a&vjs=3
Data Scientist en Unlimiteck Valladolid,Unlimiteck Company Builder,,"Valladolid, Valladolid provincia",False,hace 2 días,2021-03-29,https://es.indeed.com/rc/clk?jk=d9894d213f00d5bb&fccid=1317222f0eeaf4b7&vjs=3
